# rings=8, sectors=48, start_ring=3
# entrance_sector=0, exit_sector=24
# path_len=101
7,0
7,47
7,46
6,46
6,45
6,44
7,44
7,43
6,43
6,42
6,41
6,40
5,40
4,40
3,40
3,41
4,41
5,41
5,42
4,42
4,43
4,44
4,45
4,46
4,47
4,0
3,0
3,1
4,1
4,2
4,3
4,4
3,4
3,5
4,5
5,5
5,6
4,6
4,7
4,8
5,8
6,8
6,9
6,10
5,10
5,9
4,9
4,10
4,11
3,11
3,12
3,13
4,13
4,12
5,12
5,11
6,11
6,12
7,12
7,13
6,13
6,14
6,15
7,15
7,16
6,16
6,17
5,17
5,18
5,19
6,19
6,20
7,20
7,21
7,22
6,22
6,21
5,21
5,20
4,20
4,19
3,19
3,20
3,21
4,21
4,22
3,22
3,23
4,23
4,24
4,25
3,25
3,26
4,26
5,26
6,26
6,27
7,27
7,26
7,25
7,24
